
Predictions were generated on 17-Jul-2019 at 13:03:04 using OpenFAST, compiled as a 64-bit application using double precision at commit v2.1.0-130-g2d9230df-dirty
 linked with  NWTC Subroutine Library; ElastoDyn

Description from the FAST input file: FAST Certification Test #01: AWT-27CR2 with many DOFs with fixed yaw error and steady wind

Time      	HSShftPwr 	HSShftTq  	HSShftV   	LSSGagFxs 	LSSGagFys 	LSSGagFzs 	LSSGagV   	LSShftPwr 	LSShftTq  	RootFxb3  	RootFyb3  	RootMEdg3 	RootMFlp3 	RotSpeed  	Spn4MLxb1 	Spn4MLyb1 	Spn5ALxb1 	Spn5ALyb1 	TipDxb3   	TipDyb3   	TipRDxb3  	TipRDyb3  
(s)       	(kW)      	(kN-m)    	(rpm)     	(kN)      	(kN)      	(kN)      	(rpm)     	(kW)      	(kN-m)    	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(rpm)     	(kN-m)    	(kN-m)    	(m/s^2)   	(m/s^2)   	(m)       	(m)       	(deg)     	(deg)     
   10.0000	 6.168E-13	 5.970E-08	 9.866E-05	 3.549E-07	-2.115E-07	-6.684E+00	 3.492E-06	 6.358E-13	 1.687E-06	-1.072E-01	 1.227E+00	-3.539E+00	-3.088E-01	 3.600E-06	-1.465E-03	 2.766E-02	 2.310E-04	-9.261E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.205E-02
   10.0200	 3.801E-13	 3.644E-08	 9.959E-05	-3.525E-06	 2.115E-07	-6.684E+00	 3.525E-06	 3.840E-13	 1.030E-06	-1.072E-01	 1.227E+00	-3.539E+00	-3.088E-01	 3.562E-06	-1.465E-03	 2.766E-02	 2.746E-04	-9.788E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.205E-02
   10.0400	 7.471E-14	 7.133E-09	 1.000E-04	-6.389E-06	 5.683E-07	-6.684E+00	 3.540E-06	 7.381E-14	 2.015E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.498E-06	-1.465E-03	 2.766E-02	 2.469E-04	-7.863E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.205E-02
   10.0600	-2.149E-13	-2.055E-08	 9.988E-05	-7.533E-06	 7.695E-07	-6.684E+00	 3.535E-06	-2.084E-13	-5.806E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.427E-06	-1.465E-03	 2.767E-02	 1.572E-04	-4.059E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
   10.0800	-4.115E-13	-3.958E-08	 9.929E-05	-6.717E-06	 7.683E-07	-6.684E+00	 3.515E-06	-3.946E-13	-1.118E-06	-1.072E-01	 1.227E+00	-3.539E+00	-3.090E-01	 3.371E-06	-1.465E-03	 2.767E-02	 3.045E-05	 5.919E-07	-2.660E-03	 5.173E-03	-7.246E-02	-4.207E-02
   10.1000	-4.674E-13	-4.533E-08	 9.845E-05	-4.206E-06	 5.708E-07	-6.684E+00	 3.485E-06	-4.483E-13	-1.281E-06	-1.072E-01	 1.227E+00	-3.539E+00	-3.090E-01	 3.343E-06	-1.464E-03	 2.768E-02	-9.995E-05	 4.877E-06	-2.660E-03	 5.173E-03	-7.246E-02	-4.208E-02
   10.1200	-3.757E-13	-3.674E-08	 9.765E-05	-6.941E-07	 2.332E-07	-6.684E+00	 3.456E-06	-3.644E-13	-1.038E-06	-1.072E-01	 1.227E+00	-3.539E+00	-3.090E-01	 3.353E-06	-1.464E-03	 2.768E-02	-2.007E-04	 7.718E-06	-2.660E-03	 5.173E-03	-7.246E-02	-4.208E-02
   10.1400	-1.670E-13	-1.642E-08	 9.712E-05	 2.892E-06	-1.543E-07	-6.684E+00	 3.438E-06	-1.650E-13	-4.638E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.090E-01	 3.398E-06	-1.464E-03	 2.768E-02	-2.471E-04	 8.441E-06	-2.660E-03	 5.173E-03	-7.246E-02	-4.208E-02
   10.1600	 1.025E-13	 1.008E-08	 9.706E-05	 5.631E-06	-4.911E-07	-6.684E+00	 3.436E-06	 1.034E-13	 2.849E-07	-1.072E-01	 1.227E+00	-3.539E+00	-3.090E-01	 3.468E-06	-1.464E-03	 2.768E-02	-2.290E-04	 6.934E-06	-2.660E-03	 5.173E-03	-7.246E-02	-4.207E-02
   10.1800	 3.656E-13	 3.580E-08	 9.750E-05	 6.849E-06	-6.927E-07	-6.684E+00	 3.451E-06	 3.755E-13	 1.011E-06	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.545E-06	-1.464E-03	 2.768E-02	-1.533E-04	 3.655E-06	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
   10.2000	 5.582E-13	 5.419E-08	 9.838E-05	 6.279E-06	-7.115E-07	-6.684E+00	 3.482E-06	 5.790E-13	 1.531E-06	-1.072E-01	 1.227E+00	-3.539E+00	-3.089E-01	 3.612E-06	-1.465E-03	 2.767E-02	-4.102E-05	-5.018E-07	-2.659E-03	 5.173E-03	-7.246E-02	-4.206E-02
