
Predictions were generated on 02-Jul-2019 at 14:57:27 using BeamDyn




Time	RootFxr   	RootFyr   	RootFzr   	RootMxr   	RootMyr   	RootMzr   	TipTDxr   	TipTDyr   	TipTDzr   	TipRDxr   	TipRDyr   	TipRDzr   
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m)	(m)	(m)	(-)	(-)	(-)
       0.000000	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
       0.002000	 8.110E-03	 5.999E+02	-1.663E-02	-2.828E+04	 1.777E+00	 9.489E+03	-1.346E+01	 5.335E+01	-2.358E+01	-1.048E+00	-5.536E-02	 5.680E-01
       0.004000	 1.228E-02	 6.000E+02	-3.905E-03	-2.828E+04	 1.667E+00	 9.488E+03	-1.346E+01	 5.335E+01	-2.358E+01	-1.048E+00	-5.536E-02	 5.680E-01
       0.006000	 6.243E-04	 6.000E+02	-5.489E-05	-2.828E+04	 1.627E+00	 9.489E+03	-1.346E+01	 5.335E+01	-2.358E+01	-1.048E+00	-5.536E-02	 5.680E-01
       0.008000	 3.374E-05	 6.000E+02	-2.633E-06	-2.828E+04	 1.626E+00	 9.489E+03	-1.346E+01	 5.335E+01	-2.358E+01	-1.048E+00	-5.536E-02	 5.680E-01
       0.010000	 1.770E-06	 6.000E+02	-1.347E-07	-2.828E+04	 1.626E+00	 9.489E+03	-1.346E+01	 5.335E+01	-2.358E+01	-1.048E+00	-5.536E-02	 5.680E-01
       0.012000	 9.270E-08	 6.000E+02	-6.584E-09	-2.828E+04	 1.626E+00	 9.489E+03	-1.346E+01	 5.335E+01	-2.358E+01	-1.048E+00	-5.536E-02	 5.680E-01
       0.014000	 4.243E-09	 6.000E+02	-9.869E-09	-2.828E+04	 1.626E+00	 9.489E+03	-1.346E+01	 5.335E+01	-2.358E+01	-1.048E+00	-5.536E-02	 5.680E-01
       0.016000	 3.712E-10	 6.000E+02	 1.873E-09	-2.828E+04	 1.626E+00	 9.489E+03	-1.346E+01	 5.335E+01	-2.358E+01	-1.048E+00	-5.536E-02	 5.680E-01
       0.018000	 1.451E-10	 6.000E+02	 1.374E-09	-2.828E+04	 1.626E+00	 9.489E+03	-1.346E+01	 5.335E+01	-2.358E+01	-1.048E+00	-5.536E-02	 5.680E-01
